Type,"Docs ID","Docs author","Docs date","Docs date gmt","Docs title","Docs content","Docs excerpt","Docs status","Docs password","Docs slug","Docs modified date","Docs modified date gmt","Docs parent","Docs menu order","Docs mime type","Comment count","Doc Categories","Doc Tags","Knowledge Bases","Docs attachement url","Docs attachement ID","Author id","Author login","Author email","Author display name","Author first name","Author last name",Taxonomy,"Term ID","Term name","Term slug","Term group","Term description","Term parent","Assigned Docs","Assigned KBs","Doc Category order","KB order"
Docs,8,1,"2022-10-23 18:54:24","2022-10-23 18:54:24","Troubleshooting Notes","<div id=""block-f1466fb5-0b2c-428a-89f4-c64aa15de910"" class=""block-editor-block-list__block wp-block is-selected has-warning wp-block-generateblocks-container"" tabindex=""0"" role=""document"" aria-label=""Block: Container"" data-block=""f1466fb5-0b2c-428a-89f4-c64aa15de910"" data-type=""generateblocks/container"" data-title=""Container"">
<div>
<div class=""block-editor-block-list__block-crash-warning block-editor-warning"">
<div class=""block-editor-warning__contents"">
<h3>A Product is showing up in the Assembly Fixture Category List on the filter page</h3>
This happens if the product has 0 assigned to the Menu Order option.

Go to the product page &gt; Product Data &gt; Advanced &gt; Menu Order and set a value that will position the product in the correct order for its category. You can determine that by getting a list of the products in the same category, and then checking the values assigned to those products menu order and then select a value that will position that product in the correct location in the category list.
<h3 class=""block-editor-warning__message"">This block has encountered an error and cannot be previewed.</h3>
If you get this error when you try to edit templates, then ensure that SCRIPT_DEBUG is set to false in the wp-config.php file.
<div>
<div><strong>define('SCRIPT_DEBUG', false);</strong></div>
</div>
</div>
</div>
</div>
</div>
<h3>Did the Read Only Option In ACF Disappear?</h3>
If the Read Only option is not showing up in the ACF Field Groups, then check to be sure that the <b>Calculated fields for the ACF</b> plugin are installed and activated.

This plugin provides more options besides just additional field calculations.
<h3>504 Gateway Timeout Errors</h3>
Occasionally, you will see 504 Gateway errors in the admin. This error is usually caused by the server being overwhelmed by some process. E.g., incorrectly set filters.

Kinsta controls server resources using a PHP Worker allocation process. Our current account has been allocated 16 PHP workers. Adding more workers is very expensive, so you must figure out what function overwhelms the server. This will almost certainly be a recent change to a plugin.",,publish,,test-doc,"2025-07-19 10:13:52","2025-07-19 16:13:52",0,0,,0,38,,"6, 7",,,,,,,,,,,,,,,,,,,
Docs,67,1,"2022-10-23 21:23:10","2022-10-23 21:23:10","How To Search/Filter Anything In WooCommerce","[embed]https://youtu.be/Lm_GRv1o_n4[/embed]

&nbsp;",,publish,,search-filter-anything,"2023-06-27 11:49:10","2023-06-27 17:49:10",0,0,,0,28,,"6, 7",,,,,,,,,,,,,,,,,,,
Docs,441,1,"2022-10-25 16:46:16","2022-10-25 16:46:16","Google Email Setup Instructions","These instructions are for setting up and managing all Gmail accounts in the <a href=""https://admin.google.com/?hl=en&amp;authuser=2"">Google Admin Console</a> for office@quadica.com.

For SPF, DMARC, and DKIM to work correctly when sending email from the luxeonstar.com domain with service@luxeonstar.com via our quadica.com Gmail account, you must include service@quadica.com as an alias in the <a href=""https://admin.google.com/"">Google Workspace Admin</a>. Go to Directory &gt; Users &gt; Quadica Office &gt; Add Alternate Emails and be sure that service@quadica.com is entered. If you don't have this address set up, emails sent from the luxeonstar.com domain will fail and end up in spam.

To figure this out I hired <a href=""https://www.upwork.com/freelancers/ronallison"">Ron Allison on Upwork</a>. Here is his explanation:
<blockquote><em>""OK, I added a specific alias, service@quadica.com, to the office@quadica.com email account. Because <a href=""http://luxeonstar.com/"" target=""_blank"" rel=""noopener"">luxeonstar.com</a> is an alias domain to the primary domain <a href=""http://quadica.com/"" target=""_blank"" rel=""noopener"">quadica.com</a>, the alias service@luxeonstar.com was created when service@quadica.com was created. I just tested an email to myself from service@luxeonstar.com and it passed SPF, DKIM and DMARC. I also just resent the email from the website to myself and it now passes SPF, DKIM and DMARC whereas before it passed only SPF, did not recognize and failed DMARC.""</em></blockquote>
<h3>Email Redirects</h3>
Note that these instructions are for full redirects. NOT forwarding. Redirects will redirect emails to a new email address without modifying the email message.

We currently have the following redirects set up. You will find them listed in the <a href=""https://admin.google.com/u/2/ac/apps/gmail/routing"">Email forwarding using the recipient address map</a> section.
<ul>
 	<li>Zendesk - service@luxeonstar.com &gt; support@quadica.zendesk.com</li>
 	<li>Penny - penny@quadica.com &gt; ruth@quadica.com</li>
 	<li>Payables - payables@quadica.com &gt; ruth@quadica.com</li>
</ul>
&nbsp;

&nbsp;

&nbsp;",,publish,,google-email-setup-instructions,"2024-06-15 20:59:12","2024-06-16 02:59:12",0,0,,0,39,,7,,,,,,,,,,,,,,,,,,,
Docs,747,1,"2022-10-29 14:27:59","2022-10-29 20:27:59","Using &amp; Managing the Knowledgebase","Our knowledge base is managed using the <a href=""https://betterdocs.co/"">WordPress BetterDocs plugin.</a> Full documentation for this plugin <a href=""https://betterdocs.co/docs/wordpress/"">can be found here</a>. They also have a <a href=""https://www.youtube.com/@WPDeveloper/videos"">how-to video library</a>.

Direct links to sections of the Using &amp; Managing the Knowledgebase video.
<ul>
 	<li><a href=""https://www.youtube.com/watch?v=HaueswUg7vM&amp;t=0s"" target=""_blank"" rel=""noopener"">How To Use the Knowledgebase</a></li>
 	<li><a href=""https://www.youtube.com/watch?v=HaueswUg7vM&amp;t=120s"" target=""_blank"" rel=""noopener"">How To Edit Existing Articles</a></li>
 	<li><a href=""https://www.youtube.com/watch?v=HaueswUg7vM&amp;t=200s"" target=""_blank"" rel=""noopener"">How To Add &amp; Manage Articles</a></li>
 	<li><a href=""https://www.youtube.com/watch?v=HaueswUg7vM&amp;t=262s"" target=""_blank"" rel=""noopener"">How To Add &amp; Manage Categories</a></li>
</ul>
<div></div>
<div></div>
<div></div>
<div></div>",,publish,,using-managing-the-knowledgebase,"2022-11-27 15:52:08","2022-11-27 22:52:08",0,0,,0,42,,"6, 7",,,,,,,,,,,,,,,,,,,
Docs,1020,2,"2022-11-06 22:22:16","2022-11-07 05:22:16","Kinsta To Google Cloud Backup","The Luxeon and Fast Tracks sites hosted by Kinsta are automatically backed up once each week to our Google Cloud Storage account in a bucket named <strong>kinsta-quadica.</strong>

Our Google Cloud Storage account is accessed by going to <a href=""https://cloud.google.com/"">https://cloud.google.com/</a> and logging in using the Quadica account. Once logged in, go to the <strong>Console</strong> and then select <strong>Resources - Storage</strong> to see the kinsta-quadica bucket. Click on the bucket, and you should see the Kinsta backup files.

The Kinsta authentication to connect to our Google Cloud account is:
<ul>
 	<li>Bucket: <strong>kinsta-quadica</strong></li>
 	<li>Project ID: <strong>kinsta-backup-320603</strong></li>
</ul>
The JSON data is:
<div><span style=""font-size: 10pt"">{</span>
<span style=""font-size: 10pt"">""type"": ""service_account"",</span>
<span style=""font-size: 10pt"">""project_id"": ""kinsta-backup-320603"",</span>
<span style=""font-size: 10pt"">""private_key_id"": ""784038a549cd2b1c3eae55c4a2441019e6263af4"",</span>
<span style=""font-size: 10pt"">""private_key"": ""-----BEGIN PRIVATE KEY-----\nMIIEvQIBADANBgkqhkiG9w0BAQEFAASCBKcwggSjAgEAAoIBAQCogR9qAIpen29R</span></div>
<div><span style=""font-size: 10pt"">\nxvnMppTaPiwdlxfydlpgkjCrpmC0KJy4/qnRBYy6zDk2KEDzZpu7pAfvTVZwkyKV\n6GHSJnKjo3K9HV2bsuVkMeI9NblaG2CPixMP6UVo528JsHUgifxwStyHX66Xi2Zy</span></div>
<div><span style=""font-size: 10pt"">\nZUGNjAhQmcnkeO/+6YEMByqcA9kRfkgIFAjOP7RZ/4OZF6PjIlnEJdA7C8dueUxf\nZblDAg51YDsB1iza1BAgqY8fIUHWFgJZNC4/kR++cme/XvN6xGwJcqCyQYgkUPMR</span></div>
<div><span style=""font-size: 10pt"">\nmi61KcE8oyBnkfl2C7WEVDn9y+d10/6Ki7sHVDLqPWHySg65Af11sf4AO2xBQtYi\nIdEa5wNPAgMBAAECggEANLo+9cEYi1Zxk5HjXeYsgwRccp/yluTxD/H+9992uDlT</span></div>
<div><span style=""font-size: 10pt"">\nHVJXGjiV2mgIaQl8lY2gor1H3FqDd3ObKXSPk56DVfBR+ZqETbHTtSAk7sluaCNT\n+mbm/p4coaB17v7AEAANtae/TT8kF3jABIDp29ybR3lwIyWy174Cqxxc+Xf8x0uO</span></div>
<div><span style=""font-size: 10pt"">\nQj1lkFikC98F7WxQmvbSg8Pu+smlP2+VyF5kd6gKeDZhfykP0Gfuvr3ZSbB+GgBL\nluspdNAB8r5ft1mS15uk8gIC3Xv/V81nopAxpPQV2j1ND/yiTV7R+tonLbO97YaG</span></div>
<div><span style=""font-size: 10pt"">\nyCBSqXUn7Apz4lrcBT3zqQgAECDXcFmzrPoRlXIrxQKBgQDUw+J74i2dp0mJk1RH\nTHaCKX4ftTFgompqoqk0L8rJgu08SwwQDO2pSICVv9DwGLZVy69ugBGxYYdyk2Sp</span></div>
<div><span style=""font-size: 10pt"">\nyywIuUNkApAElYAHd0T0r4Ul5xx1azz46F7CT032o4anDpARwrnxMa847IFYsfYa\nZ2J3IVls7rDHiL0+phbBYq087QKBgQDKvsbqNNOftsX1LGbnetWkgL2QOD/gme1y</span></div>
<div><span style=""font-size: 10pt"">\n7iyQrxGrEbvrYIEvjfUxRtEJG2H5I9mT9UnfljwhdoxRCHv2GIxaervzH2Un9VgV\nV0me8np1pKSUiYcJoPEipcPiEpLzrZV/wZuWvk8uRLwH5JxNcqkOkMTh7u7Ydh8q</span></div>
<div><span style=""font-size: 10pt"">\nnBjcYdN1qwKBgFrbM1IXqccS8tIu+eRggJLgyR0dMPLFKJBU2dCRQBWBNXFz0rjf\n7HVHorFP8hc1VleY3VdglS2cKk0BKBFh03H+OwrwFTP/62ZExkt+0Gr5ICv8GVNp</span></div>
<div><span style=""font-size: 10pt"">\nV12+o9pYxl18WIVdFC4tO1ghlrKbfC6WS3P358oeu5rZh4bDQiBe1P+ZAoGBAME4\nU+Y89jpOPBbOfDu7awRd1Usu8GGjERLpPfudfR8lxYwq6rNhfP27WdhuCk8gBWnm</span></div>
<div><span style=""font-size: 10pt"">\n6MJ3MVNK4asQhOMivhA0zA6GKyeLwKiGCZm7yU143YjaEKHyihzVEfvQa9Bj7AhX\ngWqGcHvN8c0r6HI/BjLlcV1JEsOkv0sifOb7LEYFAoGARWjvrcIm9wp1YeVyvO40</span></div>
<div><span style=""font-size: 10pt"">\nmtpMTWQHE6UobJVCUmHjP0xyaGVBZztttGjMG38t2uQhVxnj760ZXUtGjL3nsnjf\nsd+U20Tzi86PqtjlwMAE8nkF/Crd23gYLZZPVxRPKD77cdmeT37O/D32+8+I0meu</span></div>
<div><span style=""font-size: 10pt"">\nMcwPNMO7SGL+c10R+JgCOhc=\n-----END PRIVATE KEY-----\n"",</span></div>
<div><span style=""font-size: 10pt"">""client_email"": ""kinsta-backups@kinsta-backup-320603.iam.gserviceaccount.com"",</span>
<span style=""font-size: 10pt"">""client_id"": ""111554883116560678511"",</span>
<span style=""font-size: 10pt"">""auth_uri"": ""https://accounts.google.com/o/oauth2/auth"",</span>
<span style=""font-size: 10pt"">""token_uri"": ""https://oauth2.googleapis.com/token"",</span>
<span style=""font-size: 10pt"">""auth_provider_x509_cert_url"": ""https://www.googleapis.com/oauth2/v1/certs"",</span>
<span style=""font-size: 10pt"">""client_x509_cert_url"": ""https://www.googleapis.com/robot/v1/metadata/x509/kinsta-backups%40kinsta-backup-320603.iam.gserviceaccount.com""</span>
<span style=""font-size: 10pt"">}</span></div>
<div></div>",,publish,,kinsta-to-google-cloud-backup,"2023-05-16 17:32:14","2023-05-16 23:32:14",0,0,,0,38,,"6, 7",,,,,,,,,,,,,,,,,,,
Docs,1032,2,"2022-11-06 22:35:25","2022-11-07 05:35:25","Fix If Code Snippet Has Crashed Site","If a Code Snippet you are working on has a bug that crashes the site completely, do the following:
<ol>
 	<li>Go to the WordPress DB</li>
 	<li>Go to the lw_snippets or fwp_snippets table</li>
 	<li>Open the Data tab</li>
 	<li>Find the snippet you were working on and delete the content in the code field</li>
 	<li>Restart WordPress</li>
</ol>",,publish,,fix-if-code-snippet-has-crashed-site,"2023-05-16 17:32:01","2023-05-16 23:32:01",0,0,,0,38,,"6, 7",,,,,,,,,,,,,,,,,,,
Docs,1034,2,"2022-11-06 22:42:26","2022-11-07 05:42:26","Product Discounts","All product discounts (except for Sale prices) are managed using the Woo Discount Rules plugin. Sample rule titles start with ""Example -"".
<h3>Important Points About Setting Up Product Discount Rules</h3>
<h4>Always Enable The Discount Bar For Product Discounts</h4>
Our product templates are designed to only display discount prices for rules defined in the <a href=""https://handlaidtrack.com/wp-admin/admin.php?page=woo_discount_rules"">Woo Discount Rules plugin</a> if you enable the <strong>Discount Bar</strong> in the rule. The discount will not be shown if you don't enable the discount bar. <strong><em>However</em></strong>, the discount will still be applied when the product is added to the cart!
<h4>The Discount Bar Will Always Be Displayed For ALL Product Discount Rules!</h4>
Even though you may have the Discount Rules plugin set up to apply the discounts with the <strong>Biggest one from match rules</strong>, <em>the discount bar will still be displayed for ALL rules!</em>

To avoid confusion, you need to define filters so that only a single rule is shown for each product. (Unless you want to show multiple discount bars for some reason.) This also applies if you checkmark the <strong>Apply this rule if matched and ignore all other rules</strong> option. This will only apply the discount for that rule to the product, but any other rule that is defined for that product will have its discount bar displayed.
<h3>Displaying The Customer Name On The Product Page</h3>
You can display the name of the customer currently logged into the site on the product page, along with their specific discount price. E.g., <strong>Price for Ron Warris : $3.98.</strong> To do this, you need to enable the Discount Bar and then include <strong>display_customer_name</strong> in the Badge Text box where you want the customer's name displayed. This uses the <a href=""https://staging-luxeonstarleds.kinsta.cloud/wp-admin/admin.php?page=edit-snippet&amp;id=45"">Text Replacement for Discount Pricing</a> snippet to replace the display_customer_name text with the customer's name.

Normally you would always define specific <strong>User Role</strong> filters for any rule that you set up to display the customer name.",,publish,,product-discounts,"2022-11-06 22:43:53","2022-11-07 05:43:53",0,0,,0,18,,7,,,,,,,,,,,,,,,,,,,
Docs,1108,2,"2022-11-30 21:41:00","2022-12-01 04:41:00","How To Edit Luxeon Templates","<h3>Adding, Editing &amp; Managing Product Tabs</h3>
The default product page tab setup in WooCommerce includes Description and Additional Information tabs. The Description tab includes the text from the main product description field, and the Additional Information tab includes weight &amp; dimensions data and the product attributes.

Tabs and the content in the tabs are managed with the <a href=""https://luxeonstarleds.kinsta.cloud/wp-admin/admin.php?page=edit-snippet&amp;id=71&amp;result=updated"">Modify Product Tabs snippet.</a> Here you can rename, hide or add new tabs with the content of each tab defined in the section of code with the function statements.

&nbsp;

&nbsp;

&nbsp;",,publish,,how-to-edit-luxeon-templates,"2022-12-01 16:07:47","2022-12-01 23:07:47",0,0,,0,28,,7,,,,,,,,,,,,,,,,,,,
Docs,1124,2,"2023-01-08 11:28:26","2023-01-08 18:28:26","Quadica Order Statuses, Their Meanings and Affects","The <strong>Move to Trash</strong> function should never be used unless the order status is set to <strong>Cancelled</strong>. Moving an order to trash while it is set to any other status will NOT de-allocate inventory from the order.

Stock will only be increased or decreased by the quantity ordered. E.g., if 10 SP-01W5 were ordered, then the stock would only be decreased or increased by 10 pieces. WC will never allocate more or less stock than what was actually ordered.

<a href=""https://docs.google.com/spreadsheets/d/152N9l_fD3XWPZvFDnegASzknNJCLGv2VsogfNYQrCgo/edit?usp=sharing"" target=""_blank"" rel=""noopener"">A spreadsheet with more details about order statuses is here</a>.
<table style=""border-collapse: collapse; width: 98.9026%; height: 902px;"">
<tbody>
<tr style=""background-color: #d1d1d1; height: 24px;"">
<th style=""width: 6.16377%; text-align: center; vertical-align: bottom; height: 48px;"" rowspan=""2""><strong>Status Name</strong></th>
<th style=""width: 14.6716%; vertical-align: bottom; height: 48px;"" rowspan=""2""><strong>Status is Set By</strong></th>
<th style=""text-align: center; vertical-align: bottom; width: 11.4424%; height: 24px;"" colspan=""2""><strong>Stock Affect When Set</strong><strong>
</strong></th>
<th style=""width: 26.6155%; text-align: left; vertical-align: bottom; height: 48px;"" rowspan=""2""><strong>Comments</strong></th>
</tr>
<tr style=""height: 24px; background-color: #d1d1d1;"">
<th style=""text-align: center; vertical-align: bottom; width: 4.64636%; height: 24px;""><strong>Site</strong></th>
<th style=""text-align: center; vertical-align: bottom; width: 6.79605%; height: 24px;""><strong>Phone</strong></th>
</tr>
<tr>
<td style=""width: 6.16377%; text-align: center;"">Awaiting Payment
<span style=""color: #c9c9c9;"">wc-pending</span></td>
<td style=""width: 14.6716%;"">Manually set when a new order that is waiting for a wire transfer or check payment is received and reviewed.</td>
<td style=""width: 4.64636%; text-align: center;"">▲ Increased</td>
<td style=""width: 6.79605%; text-align: center;"">▲ Increased</td>
<td style=""width: 26.6155%;"">When an order is first received, it will always be set to <strong>New</strong>, which will allocate stock to the order.

If the order payment is Wire Transfer or Check, you would set the status to <strong>Awaiting Payment</strong>, which automatically de-allocates stock from the order while we are waiting for the payment.</td>
</tr>
<tr style=""height: 48px;"">
<td style=""width: 6.16377%; text-align: center; height: 48px;"">New
<span style=""color: #bfbfbf;"">wc-on-hold</span></td>
<td style=""width: 14.6716%; height: 48px;"">This status is always set for new orders received from the website.</td>
<td style=""text-align: center; height: 48px; width: 4.64636%;"">▼ Decreased</td>
<td style=""text-align: center; width: 6.79605%; height: 48px;"">▼ Decreased</td>
<td style=""width: 26.6155%; height: 48px;"">Stock will ALWAYS be allocated to an order when this status is set.</td>
</tr>
<tr style=""height: 164px;"">
<td style=""width: 6.16377%; text-align: center; height: 164px;"">Process
<span style=""color: #bfbfbf;"">wc-process</span></td>
<td style=""width: 14.6716%; height: 164px;"">Manually set after a new order has been received and reviewed.

Automatically set by the OM when all SKUs in a production batch needed for the order come out of production.</td>
<td style=""text-align: center; height: 164px; width: 4.64636%;""></td>
<td style=""text-align: center; width: 6.79605%; height: 164px;"">▼ Decreased</td>
<td style=""width: 26.6155%; height: 164px;"">A new phone order can be safely set to <strong>Process</strong> when it is created.</td>
</tr>
<tr style=""height: 72px;"">
<td style=""width: 6.16377%; text-align: center; height: 72px;"">In Production
<span style=""color: #bfbfbf;"">wc-in-production</span></td>
<td style=""width: 14.6716%; height: 72px;"">Automatically set by the OM system when one or more SKUs needed for the order are currently in production.</td>
<td style=""text-align: center; height: 72px; width: 4.64636%;""></td>
<td style=""text-align: center; width: 6.79605%; height: 72px;""></td>
<td style=""width: 26.6155%; height: 72px;""></td>
</tr>
<tr style=""height: 48px;"">
<td style=""width: 6.16377%; text-align: center; height: 48px;"">Ready to Ship
<span style=""color: #bfbfbf;"">wc-processing</span></td>
<td style=""width: 14.6716%; height: 48px;"">Automatically set by the OM when a shipping batch is created.</td>
<td style=""text-align: center; height: 48px; width: 11.4424%;"" colspan=""2"">▼ Decreased</td>
<td style=""width: 26.6155%; height: 48px;"">Stock will always be decreased when this status is set, which will guarantee that no order can be shipped out without stock being properly decreased.

Pre-authorized Credit card and PayPal payments are immediately captured when this status is set!</td>
</tr>
<tr style=""height: 48px;"">
<td style=""width: 6.16377%; text-align: center; height: 48px;"">Shipped
<span style=""color: #bfbfbf;"">wc-completed</span></td>
<td style=""width: 14.6716%; height: 48px;"">Automatically set by ShipStation when an order has been shipped.</td>
<td style=""text-align: center; height: 48px; width: 11.4424%;"" colspan=""2"">▼ Decreased</td>
<td style=""width: 26.6155%; height: 48px;"">Stock will always be decreased when this status is set, which will guarantee that no order can be shipped out without stock being properly decreased.

Warning! If, for some reason, an order status is changed from <strong>Shipped</strong> to <strong>Awaiting Payment</strong> (which would be highly unusual), stock will be de-allocated from the order!</td>
</tr>
<tr style=""height: 48px;"">
<td style=""width: 6.16377%; text-align: center; height: 48px;"">Declined
<span style=""color: #bfbfbf;"">custom</span></td>
<td style=""width: 14.6716%; height: 48px;"">Set by the shipper when the credit card capture failed.</td>
<td style=""text-align: center; height: 48px; width: 11.4424%;"" colspan=""2"">No Change</td>
<td style=""width: 26.6155%; height: 48px;"">A declined email message will be automatically sent to the customer.</td>
</tr>
<tr style=""height: 48px;"">
<td style=""width: 6.16377%; text-align: center; height: 48px;"">Hold
<span style=""color: #bfbfbf;"">wc-hold</span></td>
<td style=""width: 14.6716%; height: 48px;"">Set by an admin any time that an order needs to be held for some reason.</td>
<td style=""text-align: center; height: 48px; width: 4.64636%;""></td>
<td style=""text-align: center; width: 6.79605%; height: 48px;"">▼ Decreased</td>
<td style=""width: 26.6155%; height: 48px;"">A new phone order can be safely set to <strong>Hold</strong> when it is created.</td>
</tr>
<tr style=""height: 48px;"">
<td style=""width: 6.16377%; text-align: center; height: 48px;"">Pending
<span style=""color: #bfbfbf;"">custom</span></td>
<td style=""width: 14.6716%; height: 48px;"">PayPal may set this status if it is verifying a payment.</td>
<td style=""text-align: center; height: 48px; width: 11.4424%;"" colspan=""2"">No Change</td>
<td style=""width: 26.6155%; height: 48px;"">Note that this status cannot be manually selected. It is only used by the PayPal plugin.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""width: 6.16377%; text-align: center; height: 24px;"">Scheduled
<span style=""color: #bfbfbf;"">wc-scheduled</span></td>
<td style=""width: 14.6716%; height: 24px;"">Used for scheduled customer shipments</td>
<td style=""text-align: center; height: 24px; width: 11.4424%;"" colspan=""2"">No Change</td>
<td style=""width: 26.6155%; height: 24px;"">A new phone order can be safely set to <strong>Scheduled</strong> when it is created.</td>
</tr>
<tr style=""height: 48px;"">
<td style=""width: 6.16377%; text-align: center; height: 48px;"">Failed
<span style=""color: #bfbfbf;"">wc-failed</span></td>
<td style=""width: 14.6716%; height: 48px;"">Automatically set by Stripe or PayPal if the payment fails or is declined.</td>
<td style=""text-align: center; height: 48px;"" colspan=""2"">No Change</td>
<td style=""width: 26.6155%; height: 48px;""></td>
</tr>
<tr>
<td style=""width: 6.16377%; text-align: center;"">
<div>Quote</div>
<div><span style=""color: #bfbfbf;"">custom</span></div></td>
<td style=""width: 14.6716%;"">Used for customer generated quotes</td>
<td style=""text-align: center; width: 11.4424%;"" colspan=""2"">No Change</td>
<td style=""width: 26.6155%;""></td>
</tr>
<tr style=""height: 72px;"">
<td style=""width: 6.16377%; text-align: center; height: 72px;"">Cancelled
<span style=""color: #bfbfbf;"">wc-cancelled</span></td>
<td style=""width: 14.6716%; height: 72px;"">Usually set by an admin.</td>
<td style=""text-align: center; height: 72px; width: 11.4424%;"" colspan=""2"">▲ Increased</td>
<td style=""width: 26.6155%; height: 72px;"">Note that no payment adjustments or refunds are automatically done by WC. That process is managed manually.</td>
</tr>
<tr style=""height: 48px;"">
<td style=""width: 6.16377%; text-align: center; height: 48px;"">Draft
<span style=""color: #bfbfbf;"">custom</span></td>
<td style=""width: 14.6716%; height: 48px;"">Used by the Add/Edit Order process to create draft orders.</td>
<td style=""text-align: center; height: 48px; width: 11.4424%;"" colspan=""2"">No Change</td>
<td style=""width: 26.6155%; height: 48px;""></td>
</tr>
<tr style=""height: 72px;"">
<td style=""width: 6.16377%; text-align: center; height: 72px;"">Trash</td>
<td style=""width: 14.6716%; height: 72px;"">Automatically set by WC when the <strong>Move to Trash</strong> function is used on the order page.</td>
<td style=""text-align: center; height: 72px;"" colspan=""2"">No Change</td>
<td style=""width: 26.6155%; height: 72px;"">Never use the <strong>Move to Trash</strong> function on the WC order page to delete an order. Doing so will NOT adjust stock levels!</td>
</tr>
<tr>
<td style=""width: 6.16377%; text-align: center;"">Delayed</td>
<td colspan=""4"">This status is not currently used.</td>
</tr>
</tbody>
</table>",,publish,,quadica,"2025-10-14 21:39:44","2025-10-15 03:39:44",0,0,,0,17,,7,,,,,,,,,,,,,,,,,,,
Docs,1130,2,"2023-01-19 21:22:26","2023-01-20 04:22:26","Color Mixer Options &amp; Discounts","Color mixer options are generated using the <a href=""https://luxeonstarleds.kinsta.cloud/wp-admin/admin.php?page=wapf-field-groups"">Product Fields</a> plugin. Quantity discounts for color mixers are also defined using Product Fields. This video details how this works.

https://youtu.be/X4vEQros8P4

&nbsp;",,publish,,color-mixer-options-discounts,"2023-01-19 21:32:37","2023-01-20 04:32:37",0,0,,0,18,,7,,,,,,,,,,,,,,,,,,,
