# QSA Sample SVG Data
# ===========================
# Coordinate System: Bottom-left origin (CAD format)
# To convert to SVG (top-left origin): svg_y = 113.7 - csv_y
# Canvas Size: 148mm x 113.7mm
#
# Element Rendering Parameters:
# - micro_id: 1.0mm x 1.0mm grid; 0.10mm dot diameter; 0.225mm pitch
# - datamatrix: 14mm x 6.5mm rectangle (ECC 200); x_pos/y_pos = center point
# - module_id:,font Roboto Thin; text-anchor middle
# - serial_url:,font Roboto Thin; text-anchor middle
# - led_code_x:,font Roboto Thin; text-anchor middle
#
# Serial Number Constraints:
# - Valid range: 00000001 to01048575 (20-bit Micro-ID limit)
# - Format: 8-digit zero-padded string
#

qsa,module,element_type,x_pos,y_pos,text_height,text_rotation
CUBEa,1,datamatrix,29.7215,95.2849,,
CUBEa,1,led_code_1,27.934,85.978,1.2,0
CUBEa,1,led_code_2,31.5509,85.978,1.2,0
CUBEa,1,led_code_3,27.934,84.1928,1.2,0
CUBEa,1,led_code_4,31.5509,84.1928,1.2,0
CUBEa,1,micro_id,32.0125,63.9859,,
CUBEa,1,module_id,29.7609,88.198,1.3,0
CUBEa,1,serial_url,29.7609,90.418,1.2,0
CUBEa,2,datamatrix,59.2124,95.2849,,
CUBEa,2,led_code_1,57.4249,85.978,1.2,0
CUBEa,2,led_code_2,61.0418,85.978,1.2,0
CUBEa,2,led_code_3,57.4249,84.1928,1.2,0
CUBEa,2,led_code_4,61.0418,84.1928,1.2,0
CUBEa,2,micro_id,61.5033,63.9859,,
CUBEa,2,module_id,59.2518,88.198,1.3,0
CUBEa,2,serial_url,59.2518,90.418,1.2,0
CUBEa,3,datamatrix,88.7124,95.2849,,
CUBEa,3,led_code_1,86.9249,85.978,1.2,0
CUBEa,3,led_code_2,90.5418,85.978,1.2,0
CUBEa,3,led_code_3,86.9249,84.1928,1.2,0
CUBEa,3,led_code_4,90.5418,84.1928,1.2,0
CUBEa,3,micro_id,91.0033,63.9859,,
CUBEa,3,module_id,88.7518,88.198,1.3,0
CUBEa,3,serial_url,88.7518,90.418,1.2,0
CUBEa,4,datamatrix,118.2124,95.2849,,
CUBEa,4,led_code_1,116.4249,85.978,1.2,0
CUBEa,4,led_code_2,120.0418,85.978,1.2,0
CUBEa,4,led_code_3,116.4249,84.1928,1.2,0
CUBEa,4,led_code_4,120.0418,84.1928,1.2,0
CUBEa,4,micro_id,120.5033,63.9859,,
CUBEa,4,module_id,118.2518,88.198,1.3,0
CUBEa,4,serial_url,118.2518,90.418,1.2,0
CUBEa,5,datamatrix,29.7215,18.4151,,
CUBEa,5,led_code_1,27.934,29.5072,1.2,0
CUBEa,5,led_code_2,31.5509,29.5072,1.2,0
CUBEa,5,led_code_3,27.934,27.722,1.2,0
CUBEa,5,led_code_4,31.5509,27.722,1.2,0
CUBEa,5,micro_id,32.0125,31.9863,,
CUBEa,5,module_id,29.7609,25.502,1.3,0
CUBEa,5,serial_url,29.7609,23.282,1.2,0
CUBEa,6,datamatrix,59.2124,18.4151,,
CUBEa,6,led_code_1,57.4249,29.5072,1.2,0
CUBEa,6,led_code_2,61.0418,29.5072,1.2,0
CUBEa,6,led_code_3,57.4249,27.722,1.2,0
CUBEa,6,led_code_4,61.0418,27.722,1.2,0
CUBEa,6,micro_id,61.5033,31.9863,,
CUBEa,6,module_id,59.2518,25.502,1.3,0
CUBEa,6,serial_url,59.2518,23.282,1.2,0
CUBEa,7,datamatrix,88.7124,18.4151,,
CUBEa,7,led_code_1,86.9249,29.5072,1.2,0
CUBEa,7,led_code_2,90.5418,29.5072,1.2,0
CUBEa,7,led_code_3,86.9249,27.722,1.2,0
CUBEa,7,led_code_4,90.5418,27.722,1.2,0
CUBEa,7,micro_id,91.0033,31.9863,,
CUBEa,7,module_id,88.7518,25.502,1.3,0
CUBEa,7,serial_url,88.7518,23.282,1.2,0
CUBEa,8,datamatrix,118.2124,18.4151,,
CUBEa,8,led_code_1,116.4249,29.5072,1.2,0
CUBEa,8,led_code_2,120.0418,29.5072,1.2,0
CUBEa,8,led_code_3,116.4249,27.722,1.2,0
CUBEa,8,led_code_4,120.0418,27.722,1.2,0
CUBEa,8,micro_id,120.5033,31.9863,,
CUBEa,8,module_id,118.2518,25.502,1.3,0
CUBEa,8,serial_url,118.2518,23.282,1.2,0
PICOa,1,datamatrix,29.7215,95.2849,,
PICOa,1,led_code_1,30.4483,85.0944,1.2,0
PICOa,1,micro_id,32.0244,79.1399,,
PICOa,1,module_id,29.7609,88.1077,1.3,0
PICOa,1,serial_url,29.7609,90.335,1.2,0
PICOa,2,datamatrix,59.2124,95.2849,,
PICOa,2,led_code_1,59.9392,85.0944,1.2,0
PICOa,2,micro_id,61.5244,79.1399,,
PICOa,2,module_id,59.2518,88.1077,1.3,0
PICOa,2,serial_url,59.2518,90.335,1.2,0
PICOa,3,datamatrix,88.7124,95.2849,,
PICOa,3,led_code_1,89.4392,85.0944,1.2,0
PICOa,3,micro_id,91.0244,79.1399,,
PICOa,3,module_id,88.7518,88.1077,1.3,0
PICOa,3,serial_url,88.7518,90.335,1.2,0
PICOa,4,datamatrix,118.2124,95.2849,,
PICOa,4,led_code_1,118.9392,85.0944,1.2,0
PICOa,4,micro_id,120.5244,79.1399,,
PICOa,4,module_id,118.2518,88.1077,1.3,0
PICOa,4,serial_url,118.2518,90.335,1.2,0
PICOa,5,datamatrix,29.7215,18.4151,,
PICOa,5,led_code_1,30.4483,28.6056,1.2,0
PICOa,5,micro_id,32.0125,31.9863,,
PICOa,5,module_id,29.7609,25.5923,1.3,0
PICOa,5,serial_url,29.7609,23.365,1.2,0
PICOa,6,datamatrix,59.2124,18.4151,,
PICOa,6,led_code_1,59.9392,28.6056,1.2,0
PICOa,6,micro_id,61.5033,31.9863,,
PICOa,6,module_id,59.2518,25.5923,1.3,0
PICOa,6,serial_url,59.2518,23.365,1.2,0
PICOa,7,datamatrix,88.7124,18.4151,,
PICOa,7,led_code_1,89.4392,28.6056,1.2,0
PICOa,7,micro_id,91.0033,31.9863,,
PICOa,7,module_id,88.7518,25.5923,1.3,0
PICOa,7,serial_url,88.7518,23.365,1.2,0
PICOa,8,datamatrix,118.2124,18.4151,,
PICOa,8,led_code_1,118.9392,28.6056,1.2,0
PICOa,8,micro_id,120.5033,31.9863,,
PICOa,8,module_id,118.2518,25.5923,1.3,0
PICOa,8,serial_url,118.2518,23.365,1.2,0
STARa,1,datamatrix,29.7215,95.2849,,
STARa,1,led_code_1,29.7609,85.0944,1.2,0
STARa,1,micro_id,32.0125,63.7933,,
STARa,1,module_id,29.7215,88.1077,1.3,0
STARa,1,serial_url,29.7609,90.335,1.2,0
STARa,2,datamatrix,59.2124,95.2849,,
STARa,2,led_code_1,59.2518,85.0944,1.2,0
STARa,2,micro_id,61.5033,63.7933,,
STARa,2,module_id,59.2518,88.1077,1.3,0
STARa,2,serial_url,59.2518,90.335,1.2,0
STARa,3,datamatrix,88.7124,95.2849,,
STARa,3,led_code_1,88.7518,85.0944,1.2,0
STARa,3,micro_id,91.0033,63.7933,,
STARa,3,module_id,88.7518,88.1077,1.3,0
STARa,3,serial_url,88.7518,90.335,1.2,0
STARa,4,datamatrix,118.2124,95.2849,,
STARa,4,led_code_1,118.2518,85.0944,1.2,0
STARa,4,micro_id,120.5033,63.7933,,
STARa,4,module_id,118.2518,88.1077,1.3,0
STARa,4,serial_url,118.2518,90.335,1.2,0
STARa,5,datamatrix,29.7215,18.4151,,
STARa,5,led_code_1,29.7609,28.6056,1.2,0
STARa,5,micro_id,32.0125,31.9863,,
STARa,5,module_id,29.7609,25.5923,1.3,0
STARa,5,serial_url,29.7609,23.365,1.2,0
STARa,6,datamatrix,59.2124,18.4151,,
STARa,6,led_code_1,59.2518,28.6056,1.2,0
STARa,6,micro_id,61.5033,31.9863,,
STARa,6,module_id,59.2518,25.5923,1.3,0
STARa,6,serial_url,59.2518,23.365,1.2,0
STARa,7,datamatrix,88.7124,18.4151,,
STARa,7,led_code_1,88.7518,28.6056,1.2,0
STARa,7,micro_id,91.0033,31.9863,,
STARa,7,module_id,88.7518,25.5923,1.3,0
STARa,7,serial_url,88.7518,23.365,1.2,0
STARa,8,datamatrix,118.2124,18.4151,,
STARa,8,led_code_1,118.2518,28.6056,1.2,0
STARa,8,micro_id,120.5033,31.9863,,
STARa,8,module_id,118.2518,25.5923,1.3,0
STARa,8,serial_url,118.2518,23.365,1.2,0
